energy,ssim_indices,psnr_indices
211771.19,0.36836314,5.736300323575287
143143.95,0.6491391,7.456454122354762
96067.47,0.79734784,9.216583555622666
59372.047,0.86876535,11.36462669607411
26033.117,0.94752264,15.13346989956901
14108.294,0.9729204,18.103256136706264
8255.536,0.9837234,20.958368010698713
5259.0073,0.99155045,23.75926736524958
3575.5435,0.99511904,26.862843573573613
2761.9343,0.99785423,29.911941256318883
2451.6675,0.99842876,32.060201165089865
2280.3677,0.99870604,33.929637573621264
